date,ue
2005.9001,-0.055412
2005.9028,-0.058815
2005.9055,-0.059918
2005.9083,-0.056137
2005.911,-0.05819
2005.9138,-0.055369
2005.9165,-0.055393
2005.9192,-0.054417
2005.922,-0.05088
2005.9247,-0.05453
2005.9274,-0.048712
2005.9302,-0.051575
2005.9329,-0.055087
2005.9357,-0.053089
2005.9384,-0.05528
2005.9411,-0.054582
2005.9439,-0.056179
2005.9466,-0.05933
2005.9493,-0.05486
2005.9521,-0.057102
2005.9548,-0.055291
2005.9576,-0.054257
2005.9603,-0.049357
2005.963,-0.058665
2005.9658,-0.048073
2005.9685,-0.055091
2005.9713,-0.058981
2005.974,-0.057224
2005.9767,-0.059674
2005.9822,-0.061137
2005.9849,-0.056726
2005.9877,-0.059847
2005.9904,-0.060524
2005.9932,-0.061858
2005.9959,-0.062502
2005.9986,-0.061377
2006.0014,-0.060673
2006.0041,-0.063803
2006.0068,-0.06158
2006.0096,-0.060382
2006.0123,-0.063088
2006.0151,-0.059025
2006.0178,-0.063438
2006.0205,-0.061394
2006.0233,-0.063111
2006.026,-0.061224
2006.0287,-0.06024
2006.0315,-0.063474
2006.0342,-0.056689
2006.0397,-0.064698
2006.0452,-0.061594
2006.0479,-0.057504
2006.0507,-0.063181
2006.0561,-0.062874
2006.0589,-0.061339
2006.0616,-0.061738
2006.0643,-0.061847
2006.0671,-0.059672
2006.0698,-0.057536
2006.0726,-0.059413
2006.0753,-0.056609
2006.078,-0.056638
2006.0808,-0.057332
2006.0835,-0.061619
2006.0862,-0.05935
2006.089,-0.063537
2006.0917,-0.06286
2006.0945,-0.058518
2006.0972,-0.058722
2006.0999,-0.062649
2006.1027,-0.062157
2006.1054,-0.059473
2006.1081,-0.058138
2006.1109,-0.060183
2006.1136,-0.059024
2006.1164,-0.060714
2006.1191,-0.062106
2006.1218,-0.065015
2006.1246,-0.061541
2006.1273,-0.058729
2006.13,-0.056333
2006.1328,-0.057938
2006.1355,-0.063757
2006.1383,-0.056774
2006.141,-0.068283
2006.1465,-0.059323
2006.1492,-0.057825
2006.152,-0.057347
2006.1547,-0.060384
2006.1574,-0.062432
2006.1602,-0.063028
2006.1629,-0.060956
2006.1656,-0.062667
2006.1684,-0.066132
2006.1711,-0.059838
2006.1739,-0.06036
2006.1766,-0.067807
2006.1793,-0.059053
2006.1821,-0.064687
2006.1848,-0.062569
2006.1875,-0.06515
2006.1903,-0.069507
2006.1958,-0.065977
2006.1985,-0.067813
2006.2012,-0.061546
2006.204,-0.066171
2006.2067,-0.063406
2006.2122,-0.055872
2006.2149,-0.05727
2006.2177,-0.059443
2006.2204,-0.056989
2006.2231,-0.062123
2006.2259,-0.063384
2006.2313,-0.061827
2006.2341,-0.063836
2006.2368,-0.065737
2006.2396,-0.05619
2006.2423,-0.060996
2006.245,-0.063374
2006.2478,-0.065872
2006.2505,-0.068114
2006.2533,-0.063099
2006.256,-0.065532
2006.2587,-0.063814
2006.2615,-0.067087
2006.2642,-0.073462
2006.2669,-0.064646
2006.2697,-0.066247
2006.2724,-0.065047
2006.2752,-0.070173
2006.2779,-0.066728
2006.2806,-0.070242
2006.2834,-0.075293
2006.2861,-0.069563
2006.2888,-0.073002
2006.2916,-0.069304
2006.2943,-0.078974
2006.2971,-0.067659
2006.2998,-0.067542
2006.3025,-0.0716
2006.3053,-0.071434
2006.308,-0.067378
2006.3107,-0.067229
